,CustomerID,Age,Gender,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Customervalue,TenureGroup,AgeGroup
37,100037,68,Female,France,6,87078.89,3,0,1,95662.68,0,63531.06,6-10 yrs,61+
38,100038,61,Male,France,7,109023.6,1,1,1,119165.39,0,79359.357,6-10 yrs,61+
39,100039,69,Female,France,6,197916.13,3,1,1,121077.61,1,115490.43500000001,6-10 yrs,61+
40,100040,20,Female,France,2,17509.06,1,1,0,69973.04,1,27995.735999999997,0-2 yrs,18-30
41,100041,54,Male,France,6,41994.87,1,1,1,102575.15,0,47570.793,6-10 yrs,46-60
42,100042,68,Male,Spain,0,73952.7,2,1,1,142166.79,1,72231.617,0-2 yrs,61+
43,100043,24,Female,Germany,4,220873.37,1,0,1,71598.57,0,109829.219,3-5 yrs,18-30
44,100044,38,Female,Germany,8,101220.22,1,1,0,54543.44,0,56851.32,6-10 yrs,31-45
45,100045,26,Male,France,1,63027.21,2,0,0,118867.9,0,60871.654,0-2 yrs,18-30
46,100046,56,Female,France,2,169606.84,1,1,1,142306.1,1,110534.86600000001,0-2 yrs,46-60
47,100047,35,Female,Germany,8,7572.53,1,1,1,94033.07,0,31239.233,6-10 yrs,31-45
48,100048,21,Female,France,2,193776.69,2,1,0,102462.56,1,108249.844,0-2 yrs,18-30
49,100049,42,Male,Germany,7,174473.18,1,0,0,59222.73,1,87556.291,6-10 yrs,31-45
50,100050,31,Female,Germany,5,13770.82,2,0,1,71354.04,0,26915.039999999997,3-5 yrs,31-45
51,100051,67,Female,Germany,6,124507.21,3,0,0,91192.52,0,77161.24000000002,6-10 yrs,61+
52,100052,26,Female,France,4,101037.6,2,1,1,133890.07,0,80582.56100000002,3-5 yrs,18-30
53,100053,43,Female,France,9,39534.8,1,1,1,135179.64,0,56368.112,6-10 yrs,31-45
54,100054,19,Male,Spain,6,38511.19,2,1,0,104156.65,1,46651.871,6-10 yrs,18-30
55,100055,37,Male,Germany,9,40049.55,1,1,1,93184.5,0,43975.469999999994,6-10 yrs,31-45
56,100056,45,Female,France,10,149915.6,1,1,0,92005.15,1,87567.985,6-10 yrs,31-45
57,100057,64,Female,Germany,9,42776.66,2,1,0,22405.42,1,23832.690000000002,6-10 yrs,61+
58,100058,24,Female,France,2,14898.98,1,1,0,103709.39,0,37072.609,0-2 yrs,18-30
59,100059,61,Male,France,10,239394.25,1,1,1,50306.46,1,110849.93800000001,6-10 yrs,61+
60,100060,25,Male,Germany,4,9792.94,1,0,0,57391.69,0,21134.883,3-5 yrs,18-30
61,100061,64,Female,France,5,165974.01,2,0,1,144755.93,0,109816.883,3-5 yrs,61+
62,100062,52,Female,France,8,234008.23,1,1,1,54952.1,1,110089.22200000002,6-10 yrs,46-60
63,100063,31,Male,France,3,9483.83,1,1,1,140420.26,0,45919.909999999996,3-5 yrs,31-45
64,100064,34,Female,France,7,241432.97,1,1,1,85309.27,0,122166.26900000001,6-10 yrs,31-45
65,100065,53,Female,France,7,125584.78,3,1,1,32430.43,0,59963.741,6-10 yrs,46-60
66,100066,67,Male,France,9,196271.3,4,0,1,41083.85,0,90834.57500000001,6-10 yrs,61+
67,100067,57,Male,France,5,156280.48,1,1,1,41967.19,0,75102.64900000002,3-5 yrs,46-60
68,100068,21,Male,Germany,7,154211.75,1,1,1,59475.84,0,79527.75200000001,6-10 yrs,18-30
69,100069,19,Male,Germany,4,197189.63,1,1,1,68317.7,0,99371.46200000001,3-5 yrs,18-30
70,100070,23,Male,France,0,16360.01,1,1,1,80369.08,1,30655.028,0-2 yrs,18-30
71,100071,59,Female,France,3,98097.47,1,0,1,95430.11,0,67868.32100000001,3-5 yrs,46-60
72,100072,21,Male,France,10,242392.02,1,1,1,122332.47,0,133656.84900000002,6-10 yrs,18-30
73,100073,46,Male,Germany,5,13646.82,1,1,0,54699.5,1,21868.778,3-5 yrs,46-60
74,100074,35,Male,Spain,8,65698.95,1,1,1,63708.3,0,45392.37,6-10 yrs,31-45
75,100075,43,Male,Germany,3,168026.74,3,1,0,120007.23,1,103213.465,3-5 yrs,31-45
76,100076,61,Male,France,5,25108.91,1,1,0,94266.15,1,38323.609,3-5 yrs,61+
77,100077,51,Male,Germany,9,134168.39,1,0,0,113662.13,1,87766.195,6-10 yrs,46-60
78,100078,27,Female,Spain,10,178342.6,2,1,0,106899.25,0,103407.215,6-10 yrs,18-30
79,100079,53,Male,Germany,4,189355.09,1,1,0,43791.56,1,88879.704,3-5 yrs,46-60
80,100080,31,Female,Spain,8,140297.4,1,1,0,96048.56,1,84933.72799999999,6-10 yrs,31-45
81,100081,48,Female,France,9,125157.58,2,1,1,129620.69,0,88949.739,6-10 yrs,46-60
82,100082,65,Male,Spain,5,178472.18,1,1,1,148590.59,0,115966.349,3-5 yrs,61+
83,100083,32,Male,Germany,2,36264.9,2,0,1,30079.53,0,23530.319,0-2 yrs,31-45
84,100084,25,Female,France,1,170129.48,1,0,1,57370.76,0,85263.32,0-2 yrs,18-30
85,100085,31,Female,France,2,229811.33,4,1,0,20752.19,1,98150.98900000002,0-2 yrs,31-45
86,100086,40,Female,France,5,170688.27,1,1,1,43187.19,1,81231.76500000001,3-5 yrs,31-45
87,100087,57,Male,France,9,11625.91,1,0,1,106711.47,1,36664.104999999996,6-10 yrs,46-60
88,100088,38,Female,France,7,126496.55,2,1,1,78634.93,0,74189.599,6-10 yrs,31-45
89,100089,33,Male,Germany,7,181568.82,2,0,0,93209.03,1,100590.637,6-10 yrs,31-45
90,100090,62,Male,Spain,4,10811.05,2,1,0,30521.69,0,13481.327,3-5 yrs,61+
91,100091,35,Female,Spain,0,190549.57,1,1,1,75535.14,1,98880.67000000001,0-2 yrs,31-45
92,100092,64,Male,Spain,0,70400.7,1,0,0,45328.84,1,41759.132,0-2 yrs,61+
93,100093,41,Male,Germany,6,147193.3,2,1,0,109526.06,0,91735.538,6-10 yrs,31-45
94,100094,43,Female,Germany,1,241585.88,2,1,0,74617.09,1,119019.879,0-2 yrs,31-45
95,100095,42,Female,Spain,3,248732.37,1,1,0,105775.56,0,131225.81600000002,3-5 yrs,31-45
96,100096,62,Male,France,9,158601.92,1,0,0,35842.14,1,74193.61,6-10 yrs,61+
97,100097,58,Female,France,4,122870.93,3,0,1,34897.84,0,59618.424,3-5 yrs,46-60
98,100098,46,Male,France,7,44423.08,2,0,0,96198.83,0,46629.281,6-10 yrs,46-60
99,100099,32,Female,France,9,52083.44,4,1,0,135918.69,0,61609.783,6-10 yrs,31-45
100,100100,62,Female,France,8,107300.0,1,0,0,116931.8,0,77999.74,6-10 yrs,61+
101,100101,18,Female,Spain,0,175571.58,1,1,0,124611.77,1,107612.363,0-2 yrs,18-30
102,100102,42,Female,Spain,8,192325.78,1,1,0,45930.29,1,90709.599,6-10 yrs,31-45
103,100103,24,Male,France,4,55477.09,1,0,0,86157.26,1,48038.21399999999,3-5 yrs,18-30
104,100104,26,Female,Germany,3,133854.19,1,1,1,134982.6,0,94036.75600000001,3-5 yrs,18-30
105,100105,41,Male,France,9,147901.27,1,0,1,141736.02,0,101681.614,6-10 yrs,31-45
106,100106,18,Male,Spain,4,223269.5,1,0,1,27414.65,1,97532.49500000001,3-5 yrs,18-30
107,100107,61,Female,Germany,8,219105.39,2,1,0,40732.13,0,99862.195,6-10 yrs,61+
108,100108,25,Female,Spain,7,204346.3,1,0,0,33420.88,1,91764.984,6-10 yrs,18-30
109,100109,41,Female,France,9,129165.37,1,1,1,42030.26,1,64275.526,6-10 yrs,31-45
110,100110,28,Female,Germany,4,16270.79,1,0,0,40454.98,1,18645.010000000002,3-5 yrs,18-30
111,100111,68,Female,France,10,83618.37,1,1,0,81694.45,0,57955.882999999994,6-10 yrs,61+
112,100112,34,Male,Spain,9,155430.12,2,0,1,63497.48,1,81221.792,6-10 yrs,31-45
113,100113,25,Female,France,4,159401.8,1,1,0,30469.21,1,72901.683,3-5 yrs,18-30
114,100114,52,Male,Spain,0,212268.25,1,1,0,61924.01,1,103484.703,0-2 yrs,46-60
115,100115,52,Male,France,8,94848.49,2,1,1,137086.17,0,79065.747,6-10 yrs,46-60
116,100116,50,Male,Germany,2,234155.53,2,1,1,80138.39,0,117704.22899999999,0-2 yrs,46-60
117,100117,22,Male,France,0,40808.82,2,0,0,115584.71,1,50999.341,0-2 yrs,18-30
118,100118,59,Female,Germany,4,12466.46,1,1,0,51225.04,1,20354.296,3-5 yrs,46-60
119,100119,56,Female,Germany,9,44172.78,3,0,1,80565.79,1,41839.549,6-10 yrs,46-60
120,100120,58,Male,France,2,115580.79,1,1,0,134864.17,1,86691.767,0-2 yrs,46-60
121,100121,45,Male,France,5,205727.12,2,1,1,136544.65,0,123254.74299999999,3-5 yrs,31-45
122,100122,24,Female,Germany,6,38459.09,1,0,1,39484.16,0,27229.183999999997,6-10 yrs,18-30
123,100123,26,Male,France,10,137046.62,1,1,0,63666.21,1,73918.711,6-10 yrs,18-30
124,100124,25,Female,France,3,194147.85,2,0,1,64248.77,0,96934.271,3-5 yrs,18-30
125,100125,29,Male,France,3,8715.4,1,1,1,57883.9,0,20851.629999999997,3-5 yrs,18-30
126,100126,51,Female,Spain,1,10380.01,1,1,0,73844.97,0,26305.695,0-2 yrs,46-60
127,100127,50,Male,France,1,122647.8,2,1,1,80610.33,1,73242.719,0-2 yrs,46-60
128,100128,65,Male,France,6,45661.57,3,1,0,88771.17,0,44896.579,6-10 yrs,61+
129,100129,40,Male,Spain,10,112642.25,1,1,0,25517.5,0,52712.35,6-10 yrs,31-45
130,100130,41,Female,France,4,10983.87,1,1,1,50351.51,0,19499.301,3-5 yrs,31-45
131,100131,54,Female,France,4,244217.66,1,1,1,103941.05,1,128869.67900000002,3-5 yrs,46-60
132,100132,52,Female,Germany,1,163547.21,4,1,0,106332.84,1,97319.53600000001,0-2 yrs,46-60
133,100133,61,Male,Spain,6,171674.0,2,1,0,98975.14,0,98362.542,6-10 yrs,61+
134,100134,57,Male,France,1,127432.17,1,1,1,46748.69,1,64997.775,0-2 yrs,46-60
135,100135,39,Male,France,4,206227.55,1,1,1,74281.07,0,104775.641,3-5 yrs,31-45
136,100136,44,Male,Spain,4,208351.95,1,0,0,88258.79,1,109818.61700000001,3-5 yrs,31-45
137,100137,52,Male,France,2,39772.67,2,1,1,42508.46,1,28662.106,0-2 yrs,46-60
138,100138,18,Male,Germany,1,192098.84,1,1,0,144087.58,1,120066.01,0-2 yrs,18-30
139,100139,52,Female,Spain,2,141668.71,2,1,1,90691.62,0,83875.47,0-2 yrs,46-60
140,100140,54,Female,Germany,10,190596.27,2,1,1,28436.6,1,84769.988,6-10 yrs,46-60
141,100141,64,Female,Germany,4,229674.89,2,0,0,120990.18,1,128167.41,3-5 yrs,61+
142,100142,31,Male,France,5,83774.04,2,1,0,149774.18,0,78442.26999999999,3-5 yrs,31-45
143,100143,20,Female,Spain,3,142727.89,1,1,0,39203.23,0,68852.32500000001,3-5 yrs,18-30
144,100144,18,Male,Germany,6,196870.73,1,1,1,23890.83,0,85915.84100000001,6-10 yrs,18-30
145,100145,22,Male,Spain,1,246692.15,1,0,1,91198.01,1,126036.56300000001,0-2 yrs,18-30
146,100146,43,Female,France,5,153144.07,1,1,1,27485.58,1,69503.60200000001,3-5 yrs,31-45
147,100147,31,Male,France,8,180307.0,2,0,1,31076.67,0,81446.301,6-10 yrs,31-45
148,100148,56,Male,France,9,211586.26,1,0,1,89681.6,0,111539.28400000001,6-10 yrs,46-60
149,100149,44,Male,Germany,4,187820.33,2,1,1,144406.01,0,118450.435,3-5 yrs,31-45
150,100150,26,Male,Spain,3,235583.0,1,1,1,30320.81,1,103329.74300000002,3-5 yrs,18-30
151,100151,32,Male,Germany,8,57427.33,1,1,1,92127.81,0,50609.57499999999,6-10 yrs,31-45
152,100152,32,Female,Spain,5,226948.94,1,1,1,86129.57,1,116618.747,3-5 yrs,31-45
153,100153,43,Female,Germany,3,51776.44,1,1,0,100002.03,0,50711.384999999995,3-5 yrs,31-45
154,100154,59,Male,France,0,141281.99,4,0,1,134342.77,0,96816.52700000002,0-2 yrs,46-60
155,100155,30,Male,France,8,130724.12,1,1,0,81476.1,0,76732.678,6-10 yrs,18-30
156,100156,68,Female,Germany,9,207832.93,1,1,1,93989.04,1,111330.18400000001,6-10 yrs,61+
157,100157,49,Female,Germany,2,99636.81,1,1,0,94948.15,1,68339.36899999999,0-2 yrs,46-60
158,100158,56,Female,Spain,5,35795.72,2,1,0,38232.01,0,25788.291000000005,3-5 yrs,46-60
159,100159,66,Male,France,0,176698.92,1,1,1,52603.43,0,86460.89700000001,0-2 yrs,61+
160,100160,69,Female,Spain,5,151658.0,3,0,1,48375.32,0,75176.49600000001,3-5 yrs,61+
161,100161,49,Female,Germany,2,206767.06,1,1,1,62221.98,1,101373.71800000001,0-2 yrs,46-60
162,100162,21,Male,France,2,189657.69,1,1,0,50080.09,1,90887.303,0-2 yrs,18-30
163,100163,47,Male,Germany,10,223706.3,2,1,1,64408.21,1,108805.48300000001,6-10 yrs,46-60
164,100164,54,Female,France,6,209779.4,3,1,1,106643.47,0,115905.50100000002,6-10 yrs,46-60
165,100165,40,Male,France,10,171509.08,1,0,1,58672.64,1,86205.724,6-10 yrs,31-45
166,100166,56,Female,Germany,8,116426.84,3,0,0,83535.03,1,71631.845,6-10 yrs,46-60
167,100167,62,Female,France,5,5091.08,1,1,0,137520.91,0,43292.905,3-5 yrs,61+
168,100168,32,Male,France,0,76898.4,1,1,1,138735.39,1,72380.27700000002,0-2 yrs,31-45
169,100169,60,Male,Germany,8,181880.58,2,1,1,136080.25,0,113576.807,6-10 yrs,46-60
170,100170,46,Female,Germany,4,14875.76,4,0,0,74113.1,0,28185.034,3-5 yrs,46-60
171,100171,53,Male,France,1,189148.66,1,1,0,111277.47,1,109042.90500000001,0-2 yrs,46-60
172,100172,30,Male,Germany,2,129095.89,1,1,1,58594.16,1,69216.904,0-2 yrs,18-30
173,100173,49,Male,France,10,216946.45,1,1,1,116229.56,1,121647.748,6-10 yrs,46-60
174,100174,24,Male,Germany,4,164954.01,1,1,0,144425.21,1,109309.367,3-5 yrs,18-30
175,100175,68,Male,Germany,1,199610.46,1,1,1,130736.87,1,119065.545,0-2 yrs,61+
176,100176,39,Male,France,2,42876.21,2,1,1,47735.01,0,31471.487,0-2 yrs,31-45
177,100177,45,Male,France,7,43228.54,2,0,1,87024.86,0,43399.373999999996,6-10 yrs,31-45
178,100178,19,Female,France,5,52772.78,1,0,0,130859.02,0,60367.018,3-5 yrs,18-30
179,100179,59,Male,France,1,83327.94,1,0,0,125502.52,0,70982.132,0-2 yrs,46-60
180,100180,62,Female,Spain,1,226106.9,2,1,1,64038.34,0,109654.762,0-2 yrs,61+
181,100181,23,Male,France,0,193576.87,2,1,1,140803.7,1,119672.35800000001,0-2 yrs,18-30
182,100182,45,Female,France,6,91160.75,1,1,1,129013.34,0,75168.602,6-10 yrs,31-45
183,100183,45,Male,Germany,5,229620.25,1,1,0,26710.04,1,99861.312,3-5 yrs,31-45
184,100184,61,Female,France,5,194731.48,2,1,0,149046.91,0,122607.065,3-5 yrs,61+
185,100185,61,Male,Spain,4,164014.36,2,1,0,106278.39,1,97489.661,3-5 yrs,61+
186,100186,37,Female,France,2,109141.69,2,1,0,121339.23,0,80058.845,0-2 yrs,31-45
187,100187,47,Male,Germany,7,162914.98,2,1,1,48434.13,0,79696.731,6-10 yrs,46-60
188,100188,28,Male,Spain,2,148307.27,2,1,1,149033.01,1,104033.31099999999,0-2 yrs,18-30
189,100189,45,Female,Germany,4,195466.48,2,1,1,91302.93,1,105577.971,3-5 yrs,31-45
190,100190,42,Female,France,7,56394.88,1,0,1,107727.56,0,54876.52,6-10 yrs,31-45
191,100191,56,Male,France,2,221394.44,1,0,0,82954.72,1,113444.392,0-2 yrs,46-60
192,100192,50,Female,France,4,147967.49,2,1,1,130383.76,0,98302.624,3-5 yrs,46-60
193,100193,18,Female,France,10,201689.64,1,1,1,52966.37,0,96566.06700000002,6-10 yrs,18-30
194,100194,44,Male,France,5,86825.69,1,1,1,34507.08,0,45082.700000000004,3-5 yrs,31-45
195,100195,69,Female,Spain,0,97978.56,1,1,1,101074.39,1,69514.041,0-2 yrs,61+
196,100196,30,Male,Spain,1,234322.04,1,0,0,23694.37,1,100837.327,0-2 yrs,18-30
197,100197,58,Female,Germany,6,155488.77,1,1,0,25166.8,1,69745.74799999999,6-10 yrs,46-60
198,100198,20,Male,France,8,79434.31,1,1,0,47558.46,0,46041.462,6-10 yrs,18-30
199,100199,56,Female,Spain,9,20539.4,3,1,1,20815.92,0,14461.236,6-10 yrs,46-60
200,100200,23,Male,Germany,3,108588.21,1,1,0,29430.94,1,52264.766,3-5 yrs,18-30
201,100201,25,Male,Spain,4,212270.71,3,1,0,73048.22,0,106823.35,3-5 yrs,18-30
202,100202,44,Female,Spain,3,62857.95,1,1,1,71201.5,0,46503.93,3-5 yrs,31-45
203,100203,26,Female,Germany,10,215071.76,1,1,0,94287.36,0,114315.11200000001,6-10 yrs,18-30
204,100204,54,Male,Germany,2,40411.74,1,1,1,53566.66,0,32234.994,0-2 yrs,46-60
205,100205,50,Male,France,9,32483.12,2,1,1,67806.43,0,33335.676999999996,6-10 yrs,46-60
206,100206,68,Female,Spain,1,151423.02,2,1,0,114438.3,1,94901.098,0-2 yrs,61+
207,100207,59,Female,France,2,201159.48,1,1,0,50920.45,1,95740.12700000001,0-2 yrs,46-60
208,100208,61,Female,Germany,1,195013.23,1,0,1,22958.94,1,84893.274,0-2 yrs,61+
209,100209,41,Female,Germany,7,135902.17,1,1,1,46152.87,1,68207.02900000001,6-10 yrs,31-45
210,100210,32,Female,France,0,159672.93,1,0,1,72253.17,0,85545.423,0-2 yrs,31-45
211,100211,49,Female,Germany,4,64549.82,1,1,1,131917.61,0,65395.51099999999,3-5 yrs,46-60
212,100212,49,Male,Spain,0,137805.23,1,1,0,115487.71,1,89768.605,0-2 yrs,46-60
213,100213,41,Female,France,4,51925.38,2,1,0,102736.25,1,51591.427,3-5 yrs,31-45
214,100214,58,Female,Germany,2,232089.63,2,1,0,64509.2,1,112189.012,0-2 yrs,46-60
215,100215,69,Female,France,8,169514.18,1,1,1,110055.96,1,100822.76000000001,6-10 yrs,61+
216,100216,66,Female,France,0,141161.0,3,1,0,95133.77,1,85005.13100000001,0-2 yrs,61+
217,100217,66,Male,Germany,9,61785.57,1,1,1,110400.92,0,57834.804,6-10 yrs,61+
218,100218,69,Male,France,0,102244.55,1,0,0,149811.18,1,85841.374,0-2 yrs,61+
219,100219,29,Male,Spain,7,195054.19,1,0,1,123946.01,1,115205.77900000001,6-10 yrs,18-30
220,100220,56,Male,Germany,2,59852.09,1,1,0,79387.06,1,47757.153999999995,0-2 yrs,46-60
221,100221,19,Female,Germany,10,32214.3,2,1,1,145124.01,0,56423.423,6-10 yrs,18-30
222,100222,20,Male,Germany,6,76838.41,2,1,1,46168.03,0,44586.273,6-10 yrs,18-30
223,100223,66,Female,Spain,9,198617.94,1,1,1,102403.41,0,110168.49900000001,6-10 yrs,61+
224,100224,54,Female,Spain,4,220779.02,1,1,1,62764.93,1,107141.387,3-5 yrs,46-60
225,100225,66,Male,France,1,103590.83,1,1,0,33174.55,1,51388.897,0-2 yrs,61+
226,100226,34,Male,France,10,195314.43,1,1,1,146891.1,0,122193.402,6-10 yrs,31-45
227,100227,66,Female,Germany,6,83056.01,1,1,0,84432.79,1,58552.44099999999,6-10 yrs,61+
228,100228,19,Male,Germany,6,127197.64,1,1,1,74317.83,0,73174.705,6-10 yrs,18-30
229,100229,19,Male,France,2,5046.12,2,0,0,39131.29,1,13758.235,0-2 yrs,18-30
230,100230,45,Female,France,5,177998.97,1,1,1,121767.29,1,107730.075,3-5 yrs,31-45
231,100231,40,Female,Germany,4,179677.73,2,1,0,48695.35,1,86480.097,3-5 yrs,31-45
232,100232,54,Female,Germany,0,25050.93,1,0,1,76749.03,0,33045.380999999994,0-2 yrs,46-60
233,100233,49,Female,France,0,89701.29,1,1,1,81099.5,0,60210.66599999999,0-2 yrs,46-60
234,100234,50,Female,Spain,1,120886.67,2,1,1,42213.92,0,61019.344000000005,0-2 yrs,46-60
235,100235,18,Male,France,6,193526.61,1,0,1,121567.63,0,113881.233,6-10 yrs,18-30
236,100236,36,Female,Germany,2,205901.63,1,1,0,126063.17,1,120179.803,0-2 yrs,31-45
237,100237,19,Female,Spain,8,179789.68,3,1,1,144787.14,0,115352.714,6-10 yrs,18-30
238,100238,61,Female,Spain,2,53961.74,2,0,1,85166.76,0,47135.224,0-2 yrs,61+
239,100239,43,Male,France,9,89085.18,1,1,1,71536.83,0,57095.420999999995,6-10 yrs,31-45
240,100240,49,Female,France,3,61825.72,2,1,1,66693.31,0,44738.781,3-5 yrs,46-60
241,100241,23,Female,France,10,159296.33,2,1,1,142503.77,0,106470.163,6-10 yrs,18-30
242,100242,49,Male,Germany,7,161837.39,2,1,0,118653.98,1,100331.54999999999,6-10 yrs,46-60
243,100243,21,Female,Germany,3,4042.29,1,1,1,86964.28,0,27706.5,3-5 yrs,18-30
244,100244,28,Female,Germany,6,182927.82,1,0,1,114152.01,0,107417.031,6-10 yrs,18-30
245,100245,34,Female,Germany,10,57377.62,2,1,1,77347.86,0,46155.906,6-10 yrs,31-45
246,100246,55,Male,Spain,4,200343.97,1,1,1,120176.0,1,116190.68800000001,3-5 yrs,46-60
247,100247,41,Male,France,5,208203.64,3,1,1,140804.09,1,125523.38300000002,3-5 yrs,31-45
248,100248,22,Female,Germany,7,199244.01,2,1,1,47993.74,0,94096.22600000001,6-10 yrs,18-30
249,100249,69,Female,France,3,102028.25,2,0,0,67942.84,0,61194.552,3-5 yrs,61+
250,100250,51,Female,France,5,87075.56,2,1,0,104373.31,0,66142.617,3-5 yrs,46-60
251,100251,23,Male,France,9,108780.27,3,1,0,87690.04,0,69819.72000000002,6-10 yrs,18-30
252,100252,39,Male,France,1,131809.17,2,1,1,83143.73,1,77667.28700000001,0-2 yrs,31-45
253,100253,28,Male,Spain,8,62479.98,1,1,1,128960.65,0,63680.487,6-10 yrs,18-30
254,100254,65,Male,France,8,232909.1,1,1,1,117475.81,1,128406.683,6-10 yrs,61+
255,100255,33,Male,France,9,126016.24,3,1,0,88196.99,0,76866.19300000001,6-10 yrs,31-45
256,100256,50,Male,Spain,9,18299.25,2,1,0,51954.5,0,22906.45,6-10 yrs,46-60
257,100257,26,Female,Germany,5,249300.52,2,0,1,120853.09,1,135976.635,3-5 yrs,18-30
258,100258,23,Male,Spain,5,121026.01,1,1,0,76978.48,0,71504.148,3-5 yrs,18-30
259,100259,33,Female,France,9,236747.22,1,1,0,139711.62,1,136612.57400000002,6-10 yrs,31-45
260,100260,46,Male,France,6,97570.93,1,0,1,20383.98,0,45143.86599999999,6-10 yrs,46-60
261,100261,20,Female,Germany,3,56190.2,1,1,0,93853.49,1,50632.327000000005,3-5 yrs,18-30
262,100262,37,Male,Spain,6,184220.03,1,1,0,100055.84,0,103704.96399999999,6-10 yrs,31-45
263,100263,53,Female,France,9,108123.58,1,1,1,37890.33,0,54616.831,6-10 yrs,46-60
264,100264,36,Female,Germany,0,220364.65,2,1,1,85826.47,0,113894.301,0-2 yrs,31-45
265,100265,43,Female,France,6,116122.77,1,1,0,35050.3,0,56964.398,6-10 yrs,31-45
266,100266,20,Male,France,0,84585.17,2,1,0,71976.37,1,55427.37899999999,0-2 yrs,18-30
267,100267,36,Male,France,10,241669.49,1,0,0,107995.81,0,129066.739,6-10 yrs,31-45
268,100268,37,Male,France,7,207593.65,2,1,0,108735.08,1,115658.38399999999,6-10 yrs,31-45
269,100269,49,Female,Germany,9,51399.83,1,1,1,82360.55,0,45268.397,6-10 yrs,46-60
270,100270,24,Female,France,5,122213.81,1,1,1,127647.35,0,87180.02900000001,3-5 yrs,18-30
